"source","target","source_lang","target_lang","structure","position"
"CƠ CẤU VỐN CHO GIAI ĐOẠN I CỦA DỰ ÁN","CAPITAL STRUCTURE FOR PROJECT PHASE I","vi","en","cell","Cơ cấu vốn!A1"
"Danh mục đầu tư","Investment Item","vi","en","cell","Cơ cấu vốn!A2"
"Trị giá","Value ","vi","en","cell","Cơ cấu vốn!B2"
"Vốn góp","Equity ","vi","en","cell","Cơ cấu vốn!C2"
"Vốn Vay","Debt ","vi","en","cell","Cơ cấu vốn!D2"
"Thời gian cần thiết","Timeline","vi","en","cell","Cơ cấu vốn!E2"
"THUÊ ĐẤT","LAND LEASE","vi","en","cell","Cơ cấu vốn!A3"
"Tháng 3-5/2026","Mar-May 2026","vi","en","cell","Cơ cấu vốn!E3"
"XÂY DỰNG NHÀ XƯỞNG CHUẨN GMP/HACCP/ISO 22000_ 2020","GMP/HACCP/ISO 22000_2020 FACTORY CONSTRUCTION","vi","en","cell","Cơ cấu vốn!A4"
"MÁY MÓC, THIẾT BỊ SẢN XUẤT","PRODUCTION MACHINERY & EQUIPMENT","vi","en","cell","Cơ cấu vốn!A5"
"THIẾT BỊ VĂN PHÒNG QUẢN TRỊ NHÀ MÁY","FACTORY MANAGEMENT OFFICE EQUIPMENT","vi","en","cell","Cơ cấu vốn!A6"
"Tháng 8-9/2026","Aug-Sep 2026","vi","en","cell","Cơ cấu vốn!E6"
"HỆ THỐNG LOGISTIC","LOGISTICS SYSTEM","vi","en","cell","Cơ cấu vốn!A7"
"NHẬP KHẨU VI LƯỢNG NGUYÊN LIỆU GỐC CHO SX 2026-2035","IMPORT OF TRACE MINERAL RAW MATERIAL FOR 2026-2035 PRODUCTION","vi","en","cell","Cơ cấu vốn!A8"
"TRÍCH LẬP DỰ PHÒNG","PROVISIONING","vi","en","cell","Cơ cấu vốn!A9"
"Tháng 10-11/2026","Oct-Nov 2026","vi","en","cell","Cơ cấu vốn!E9"
"THUẾ VAT (thời gian chờ hoàn thuế)","VAT (Pending Refund)","vi","en","cell","Cơ cấu vốn!A10"
"Tổng cộng","Total","vi","en","cell","Cơ cấu vốn!A11"
"Cơ cấu nguồn vốn","Capital Structure","vi","en","cell","Cơ cấu vốn!A13"
"Giá trị","Value ","vi","en","cell","Cơ cấu vốn!C13"
"CPSD vốn","Cost of Capital ","vi","en","cell","Cơ cấu vốn!D13"
"VỐN GÓP TỪ CỔ ĐÔNG SÁNG LẬP","FOUNDING SHAREHOLDER EQUITY","vi","en","cell","Cơ cấu vốn!A14"
"VỐN VAY (HOẶC CĐ CHIẾN LƯỢC MỚI)","DEBT (OR NEW STRATEGIC SHAREHOLDER)","vi","en","cell","Cơ cấu vốn!A15"
"WACC/Tổng cộng","WACC/Total","vi","en","cell","Cơ cấu vốn!A16"
