"project_id","project_name","term","source_lang","target_lang","translation","context","remarks"
1,"global","(đồng)","vi",,"(VND)",,"(đồng) -> (VND)"
1,"global","(triệu VND)","vi","en","(VND million)",,
1,"global","khoáng vi lượng","vi","en","trace minerals",,
1,"global","nước cốt","vi","en","mother liquor",,
1,"global","nguyên liệu gốc","vi","en","raw material",,
1,"global","giai đoạn 1","vi","en","phase 1",,
1,"global","khu công nghệ cao","vi","en","high-tech park",,
1,"global","cổ đông chiến lược","vi","en","strategic shareholder",,
1,"global","vốn lưu động","vi","en","working capital",,
1,"global","GMP","vi",,"GMP",,"Giữ nguyên"
1,"global","HACCP","vi",,"HACCP",,"Giữ nguyên"
1,"global","ISO","vi",,"ISO",,"Giữ nguyên"
1,"global","hành động thực chiến","vi","en","tactical actions",,
1,"global","cách thực hiện thực chiến","vi","en","tactical implementation",,
